OUT_1G,GPIO0
OUT_1B,GPIO1
OUT_2B,GPIO2
OUT_1R,GPIO3
OUT_2R,GPIO4
OUT_2G,GPIO5
OUT_3G,GPIO6
OUT_3B,GPIO7
OUT_4B,GPIO8
OUT_3R,GPIO9
OUT_4R,GPIO10
OUT_4G,GPIO11
OUT_5G,GPIO12
OUT_5B,GPIO13
OUT_6B,GPIO14
OUT5R,GPIO15
SDA,GPIO16
SCL,GPIO17
USER_SW, GPIO18
PSRAM_CS, GPIO19
I2S_DATA,GPIO20
I2S_BCLK,GPIO21
I2S_LRCLK,GPIO22
AMP_EN,GPIO23
SPCE_B_DC,GPIO24
SPCE_B_CS,GPIO25
SPCE_B_SCK,GPIO26
SPCE_B_MOSI,GPIO27
SPCE_A_DC,GPIO32
SPCE_A_CS,GPIO33
SPCE_A_SCK,GPIO34
SPCE_A_MOSI,GPIO35
SPCE_A_BL,GPIO36
SPCE_B_BL,GPIO37
OUT_6R,GPIO38
OUT_6G,GPIO39
OUT_7G,GPIO40
OUT_7B,GPIO41
OUT_7R,GPIO42
SERVO_STRIP_EN,GPIO43
SERVO_STRIP_A,GPIO44
SERVO_STRIP_B,GPIO45
SENSOR,GPIO46
VSENSE,GPIO47